t(ms),V(mV)
1.956400000000000148e+02,2.699376064735547587e+01
1.956450000000000102e+02,2.699480325921333090e+01
1.956500000000000057e+02,2.699584444854429321e+01
1.956550000000000296e+02,2.699688418705572346e+01
1.956600000000000250e+02,2.699792244652080342e+01
1.956649999999999920e+02,2.699895919877932471e+01
1.956700000000000159e+02,2.699999441573847392e+01
1.956750000000000114e+02,2.700102806937362843e+01
1.956800000000000068e+02,2.700206013172912733e+01
1.956850000000000307e+02,2.700309057491907438e+01
1.956899999999999977e+02,2.700411937112809113e+01
1.956950000000000216e+02,2.700514649261210920e+01
1.957000000000000171e+02,2.700617191169913411e+01
1.957050000000000125e+02,2.700719560079003045e+01
1.957100000000000364e+02,2.700821753235926082e+01
1.957150000000000318e+02,2.700923767895566741e+01
1.957199999999999989e+02,2.701025601320322878e+01
1.957250000000000227e+02,2.701127250780181299e+01
1.957300000000000182e+02,2.701228713552792726e+01
1.957350000000000136e+02,2.701329986923547466e+01
1.957400000000000375e+02,2.701431068185650375e+01
1.957450000000000045e+02,2.701531954640193689e+01
1.957500000000000000e+02,2.701632643596231986e+01
1.957550000000000239e+02,2.701733132370855728e+01
1.957600000000000193e+02,2.701833418289265154e+01
1.957650000000000148e+02,2.701933498684841339e+01
1.957700000000000387e+02,2.702033370899221509e+01
1.957750000000000057e+02,2.702133032282368674e+01
1.957800000000000011e+02,2.702232480192645170e+01
1.957850000000000250e+02,2.702331711996883357e+01
1.957900000000000205e+02,2.702430725070458095e+01
1.957950000000000159e+02,2.702529516797355313e+01
1.958000000000000398e+02,2.702628084570245193e+01
1.958050000000000068e+02,2.702726425790550380e+01
1.958100000000000023e+02,2.702824537868516330e+01
1.958150000000000261e+02,2.702922418223280587e+01
1.958200000000000216e+02,2.703020064282942769e+01
1.958250000000000171e+02,2.703117473484632072e+01
1.958300000000000125e+02,2.703214643274575124e+01
1.958350000000000080e+02,2.703311571108166333e+01
1.958400000000000034e+02,2.703408254450032544e+01
1.958450000000000273e+02,2.703504690774101960e+01
1.958500000000000227e+02,2.703600877563670934e+01
1.958550000000000182e+02,2.703696812311469344e+01
1.958600000000000136e+02,2.703792492519727730e+01
1.958650000000000091e+02,2.703887915700242317e+01
1.958700000000000045e+02,2.703983079374440379e+01
1.958750000000000284e+02,2.704077981073445613e+01
1.958800000000000239e+02,2.704172618338141731e+01
1.958849999999999909e+02,2.704266988719237119e+01
1.958900000000000148e+02,2.704361089777328786e+01
1.958950000000000102e+02,2.704454919082965603e+01
1.959000000000000057e+02,2.704548474216710474e+01
1.959050000000000296e+02,2.704641752769203578e+01
1.959100000000000250e+02,2.704734752341224535e+01
1.959149999999999920e+02,2.704827470543754231e+01
1.959200000000000159e+02,2.704919904998034852e+01
1.959250000000000114e+02,2.705012053335632771e+01
1.959300000000000068e+02,2.705103913198497523e+01
1.959350000000000307e+02,2.705195482239022198e+01
1.959399999999999977e+02,2.705286758120103840e+01
1.959450000000000216e+02,2.705377738515202424e+01
1.959500000000000171e+02,2.705468421108399824e+01
1.959550000000000125e+02,2.705558803594456663e+01
1.959600000000000364e+02,2.705648883678872707e+01
1.959650000000000318e+02,2.705738659077944064e+01
1.959699999999999989e+02,2.705828127518819315e+01
1.959750000000000227e+02,2.705917286739556005e+01
1.959800000000000182e+02,2.706006134489179260e+01
1.959850000000000136e+02,2.706094668527735081e+01
1.959900000000000375e+02,2.706182886626347894e+01
1.959950000000000045e+02,2.706270786567273845e+01
1.960000000000000000e+02,2.706358366143958349e+01
1.960050000000000239e+02,2.706445623161086189e+01
1.960100000000000193e+02,2.706532555434639420e+01
1.960150000000000148e+02,2.706619160791947465e+01
1.960200000000000387e+02,2.706705437071742892e+01
1.960250000000000057e+02,2.706791382124211154e+01
1.960300000000000011e+02,2.706876993811045296e+01
1.960350000000000250e+02,2.706962270005495697e+01
1.960400000000000205e+02,2.707047208592421939e+01
1.960450000000000159e+02,2.707131807468344320e+01
1.960500000000000398e+02,2.707216064541492884e+01
1.960550000000000068e+02,2.707299977731857510e+01
1.960600000000000023e+02,2.707383544971238720e+01
1.960650000000000261e+02,2.707466764203295639e+01
1.960700000000000216e+02,2.707549633383594312e+01
1.960750000000000171e+02,2.707632150479656374e+01
1.960800000000000125e+02,2.707714313471006662e+01
1.960850000000000080e+02,2.707796120349220814e+01
1.960900000000000034e+02,2.707877569117970751e+01
1.960950000000000273e+02,2.707958657793072277e+01
1.961000000000000227e+02,2.708039384402531269e+01
1.961050000000000182e+02,2.708119746986587728e+01
1.961100000000000136e+02,2.708199743597761966e+01
1.961150000000000091e+02,2.708279372300898302e+01
1.961200000000000045e+02,2.708358631173210540e+01
1.961250000000000284e+02,2.708437518304323888e+01
1.961300000000000239e+02,2.708516031796318657e+01
1.961349999999999909e+02,2.708594169763774673e+01
1.961400000000000148e+02,2.708671930333810707e+01
1.961450000000000102e+02,2.708749311646128888e+01
1.961500000000000057e+02,2.708826311853054847e+01
1.961550000000000296e+02,2.708902929119578218e+01
1.961600000000000250e+02,2.708979161623394916e+01
1.961649999999999920e+02,2.709055007554944794e+01
1.961700000000000159e+02,2.709130465117452502e+01
1.961750000000000114e+02,2.709205532526966920e+01
1.961800000000000068e+02,2.709280208012399171e+01
1.961850000000000307e+02,2.709354489815561351e+01
1.961899999999999977e+02,2.709428376191202759e+01
1.961950000000000216e+02,2.709501865407048626e+01
1.962000000000000171e+02,2.709574955743837421e+01
1.962050000000000125e+02,2.709647645495356016e+01
1.962100000000000364e+02,2.709719932968474865e+01
1.962150000000000318e+02,2.709791816483185301e+01
1.962199999999999989e+02,2.709863294372632936e+01
1.962250000000000227e+02,2.709934364983154254e+01
1.962300000000000182e+02,2.710005026674307871e+01
1.962350000000000136e+02,2.710075277818909356e+01
1.962400000000000375e+02,2.710145116803065335e+01
1.962450000000000045e+02,2.710214542026204754e+01
1.962500000000000000e+02,2.710283551901111565e+01
1.962550000000000239e+02,2.710352144853955991e+01
1.962600000000000193e+02,2.710420319324326499e+01
1.962650000000000148e+02,2.710488073765260708e+01
1.962700000000000387e+02,2.710555406643274523e+01
1.962750000000000057e+02,2.710622316438393042e+01
1.962800000000000011e+02,2.710688801644178980e+01
1.962850000000000250e+02,2.710754860767763930e+01
1.962900000000000205e+02,2.710820492329873588e+01
1.962950000000000159e+02,2.710885694864857598e+01
1.963000000000000114e+02,2.710950466920717261e+01
1.963050000000000068e+02,2.711014807059131115e+01
1.963100000000000023e+02,2.711078713855483713e+01
1.963150000000000261e+02,2.711142185898890133e+01
1.963200000000000216e+02,2.711205221792221565e+01
1.963250000000000171e+02,2.711267820152131947e+01
1.963300000000000125e+02,2.711329979609080354e+01
1.963350000000000080e+02,2.711391698807358708e+01
1.963400000000000034e+02,2.711452976405112381e+01
1.963450000000000273e+02,2.711513811074364355e+01
1.963500000000000227e+02,2.711574201501039738e+01
1.963550000000000182e+02,2.711634146384986366e+01
1.963600000000000136e+02,2.711693644439996831e+01
1.963650000000000091e+02,2.711752694393831575e+01
1.963700000000000045e+02,2.711811294988237719e+01
1.963750000000000284e+02,2.711869444978971444e+01
1.963800000000000239e+02,2.711927143135817175e+01
1.963849999999999909e+02,2.711984388242607480e+01
1.963900000000000148e+02,2.712041179097241894e+01
1.963950000000000102e+02,2.712097514511706464e+01
1.964000000000000057e+02,2.712153393312091865e+01
1.964050000000000296e+02,2.712208814338609031e+01
1.964100000000000250e+02,2.712263776445610119e+01
1.964150000000000205e+02,2.712318278501602720e+01
1.964200000000000159e+02,2.712372319389267261e+01
1.964250000000000114e+02,2.712425898005472291e+01
1.964300000000000352e+02,2.712479013261291172e+01
1.964350000000000307e+02,2.712531664082015936e+01
1.964399999999999977e+02,2.712583849407172920e+01
1.964450000000000216e+02,2.712635568190535551e+01
1.964500000000000171e+02,2.712686819400138916e+01
1.964550000000000125e+02,2.712737602018292904e+01
1.964600000000000364e+02,2.712787915041594999e+01
1.964650000000000318e+02,2.712837757480942358e+01
1.964699999999999989e+02,2.712887128361543532e+01
1.964750000000000227e+02,2.712936026722929839e+01
1.964800000000000182e+02,2.712984451618967086e+01
1.964850000000000136e+02,2.713032402117865161e+01
1.964900000000000375e+02,2.713079877302188336e+01
1.964950000000000045e+02,2.713126876268864862e+01
1.965000000000000000e+02,2.713173398129195846e+01
1.965050000000000239e+02,2.713219442008864490e+01
1.965100000000000193e+02,2.713265007047944266e+01
1.965150000000000148e+02,2.713310092400905660e+01
1.965200000000000387e+02,2.713354697236624702e+01
1.965250000000000057e+02,2.713398820738389361e+01
1.965300000000000011e+02,2.713442462103905584e+01
1.965350000000000250e+02,2.713485620545304400e+01
1.965400000000000205e+02,2.713528295289146541e+01
1.965450000000000159e+02,2.713570485576427416e+01
1.965500000000000114e+02,2.713612190662582790e+01
1.965550000000000068e+02,2.713653409817491635e+01
1.965600000000000023e+02,2.713694142325481096e+01
1.965650000000000261e+02,2.713734387485328980e+01
1.965700000000000216e+02,2.713774144610266958e+01
1.965750000000000171e+02,2.713813413027983756e+01
1.965800000000000125e+02,2.713852192080625514e+01
1.965850000000000080e+02,2.713890481124798981e+01
1.965900000000000034e+02,2.713928279531571519e+01
1.965950000000000273e+02,2.713965586686472875e+01
1.966000000000000227e+02,2.714002401989493762e+01
1.966050000000000182e+02,2.714038724855088347e+01
1.966100000000000136e+02,2.714074554712171050e+01
1.966150000000000091e+02,2.714109891004116548e+01
1.966200000000000045e+02,2.714144733188759417e+01
1.966250000000000284e+02,2.714179080738389516e+01
1.966300000000000239e+02,2.714212933139752337e+01
1.966349999999999909e+02,2.714246289894045816e+01
1.966400000000000148e+02,2.714279150516915706e+01
1.966450000000000102e+02,2.714311514538453096e+01
1.966500000000000057e+02,2.714343381503190500e+01
1.966550000000000296e+02,2.714374750970096883e+01
1.966600000000000250e+02,2.714405622512573402e+01
1.966650000000000205e+02,2.714435995718447359e+01
1.966700000000000159e+02,2.714465870189967589e+01
1.966750000000000114e+02,2.714495245543797353e+01
1.966800000000000352e+02,2.714524121411007584e+01
1.966850000000000307e+02,2.714552497437072276e+01
1.966899999999999977e+02,2.714580373281857462e+01
1.966950000000000216e+02,2.714607748619616601e+01
1.967000000000000171e+02,2.714634623138980274e+01
1.967050000000000125e+02,2.714660996542949079e+01
1.967100000000000364e+02,2.714686868548884391e+01
1.967150000000000318e+02,2.714712238888498064e+01
1.967199999999999989e+02,2.714737107307842834e+01
1.967250000000000227e+02,2.714761473567303440e+01
1.967300000000000182e+02,2.714785337441583835e+01
1.967350000000000136e+02,2.714808698719698654e+01
1.967400000000000375e+02,2.714831557204959012e+01
1.967450000000000045e+02,2.714853912714963258e+01
1.967500000000000000e+02,2.714875765081583481e+01
1.967550000000000239e+02,2.714897114150952007e+01
1.967600000000000193e+02,2.714917959783450740e+01
1.967650000000000148e+02,2.714938301853695179e+01
1.967700000000000387e+02,2.714958140250522689e+01
1.967750000000000057e+02,2.714977474876976871e+01
1.967800000000000011e+02,2.714996305650294417e+01
1.967850000000000250e+02,2.715014632501888414e+01
1.967900000000000205e+02,2.715032455377333775e+01
1.967950000000000159e+02,2.715049774236351965e+01
1.968000000000000114e+02,2.715066589052794299e+01
1.968050000000000068e+02,2.715082899814625961e+01
1.968100000000000023e+02,2.715098706523907524e+01
1.968150000000000261e+02,2.715114009196780387e+01
1.968200000000000216e+02,2.715128807863445815e+01
1.968250000000000171e+02,2.715143102568150368e+01
1.968300000000000125e+02,2.715156893369164237e+01
1.968350000000000080e+02,2.715170180338765604e+01
1.968400000000000034e+02,2.715182963563218621e+01
1.968450000000000273e+02,2.715195243142754933e+01
1.968500000000000227e+02,2.715207019191555204e+01
1.968550000000000182e+02,2.715218291837726738e+01
1.968600000000000136e+02,2.715229061223283225e+01
1.968650000000000091e+02,2.715239327504125555e+01
1.968700000000000045e+02,2.715249090850017666e+01
1.968750000000000284e+02,2.715258351444566642e+01
1.968800000000000239e+02,2.715267109485201402e+01
1.968849999999999909e+02,2.715275365183147471e+01
1.968900000000000148e+02,2.715283118763406733e+01
1.968950000000000102e+02,2.715290370464732206e+01
1.969000000000000057e+02,2.715297120539607079e+01
1.969050000000000296e+02,2.715303369254218069e+01
1.969100000000000250e+02,2.715309116888433039e+01
1.969150000000000205e+02,2.715314363735776126e+01
1.969200000000000159e+02,2.715319110103402167e+01
1.969250000000000114e+02,2.715323356312071823e+01
1.969300000000000352e+02,2.715327102696126360e+01
1.969350000000000307e+02,2.715330349603460647e+01
1.969399999999999977e+02,2.715333097395497930e+01
1.969450000000000216e+02,2.715335346447162479e+01
1.969500000000000171e+02,2.715337097146853651e+01
