Time (ms),Vert[0],Vert[1],Vert[2],Vert[3],Vert[4],Vert[5],Vert[6],Vert[7],
85.6,45.1450160175988,45.1429695260069,45.1394646429415,45.1365460486154,45.1342125739712,45.132463285674,45.1312974826078,45.130714697805,
85.64999,44.6100397596287,44.6079934141834,44.6044888167956,44.6015704852967,44.5992372371045,44.5974881280818,44.5963224490222,44.595739727569,
85.7,43.758372054938,43.7563259311468,43.7528217670553,43.7499038342323,43.7475709295738,43.7458220925403,43.7446566016324,43.7440739763023,
85.75,42.6370676459805,42.6350217584413,42.6315180561894,42.6286005483156,42.6262680098405,42.6245194627362,42.6233541723941,42.6227716495304,
85.8,41.2852806716078,41.2832349927503,41.2797316984426,41.2768145659292,41.2744823509078,41.2727340599019,41.271568946723,41.2709865143698,
85.85,39.7412389117986,39.7391933795757,39.7356903719165,39.7327735031516,39.7304415154021,39.7286934043387,39.7275284156382,39.726946046879,
85.9,38.0442738201644,38.042228337825,38.0387254276734,38.0358086486134,38.0334767381502,38.0317286882693,38.0305637418882,38.0299813947478,
85.95,36.2336725520188,36.2316269848163,36.2281239087527,36.2252069770033,36.2228749349372,36.2211267808378,36.2199617623498,36.2193793783673,
85.99999,34.3457067487218,34.3436609250104,34.3401573474807,34.3372399542709,34.3349075145115,34.3331590455006,34.3319938091462,34.3314113138527,
86.05,32.4104716786968,32.4084254032082,32.404920942479,32.4020027365456,32.3996695963856,32.3979205727771,32.3967549527396,32.396172261419,
86.1,30.4502076837452,30.4481607639918,30.4446550437652,30.441735678848,30.4394015398922,30.4376517254155,30.4364855582413,30.4359025873851,
86.15,28.4799433843439,28.4778956614677,28.4743883711891,28.4714675615244,28.4691321775125,28.4673813771785,28.4662145279735,28.4656312086643,
86.2,26.5100645973066,26.5080159701291,26.5045069120038,26.5015844755883,26.4992476896789,26.4974957793019,26.496328162155,26.495744450501,
86.25,24.549740956494,24.5476913930202,24.5441805045024,24.5412563837882,24.538918146394,24.5371650867145,24.5359966744678,24.5354125565947,
86.3,22.6102306176203,22.6081801540244,22.6046675058357,22.6017417659073,22.5994021331242,22.5976479685651,22.5964787919538,22.5958942835654,
86.35,20.7073925113698,20.7053412402035,20.7018270132801,20.6988998206416,20.6965589359673,20.6948037801582,20.693633917796,20.6930490590574,
86.39999,18.8628726115191,18.8608206607142,18.857305105159,18.8543766899605,18.8520347517414,18.8502787617418,18.8491083222876,18.848523168714,
86.45,17.1034834397088,17.1014309452347,17.0979143268628,17.0949849337112,17.0926421527503,17.0908854954818,17.0897145944166,17.0891292050086,
86.5,15.4585879745348,15.4565350529932,15.4530175997559,15.4500874384131,15.4477439954823,15.4459868140851,15.4448155504365,15.4442299757881,
86.55,13.9560062240595,13.9539529542553,13.9504348202119,13.947504032442,13.9451600497107,13.9434024409206,13.9422308816117,13.9416451559143,
86.6,12.6177855396865,12.615731959882,12.6122132198315,12.6092818744614,12.606937411241,12.6051794220198,12.6040075995385,12.6034217393899,
86.65,11.4574148108887,11.4553609303532,11.451841602415,11.4489097161141,11.4465647867661,11.4448064284829,11.4436343506931,11.4430483601106,
86.7,10.4793277608746,10.4772735767414,10.4737536553086,10.4708212229137,10.4684758229848,10.4667170921107,10.4655447565696,10.4649586343047,
86.75,9.68035026763703,9.67829577781626,9.67477525880165,9.67184227654836,9.66949640279148,9.66773729675331,9.66656470167951,9.66597844682163,
86.8,9.05203067174082,9.04997588052127,9.04645477230755,9.04352124790712,9.04117490696536,9.03941543102154,9.03824258005207,9.03765619445915,
86.85,8.5828841299146,8.58082904818285,8.57730737205143,8.57437332508491,8.57202653383107,8.57026670134052,8.56909360371658,8.5685070921098,
86.89999,8.26008243257244,8.25802707586435,8.25450486218579,8.25157032059825,8.24922310311329,8.24746293314263,8.24628960205419,8.24570297117218,
86.95,8.07054447226839,8.0684888586738,8.06496614281168,8.06203113914274,8.05968352346718,8.05792303821828,8.05674948902436,8.05616274671393,
87,8.00156851140738,7.9995126600126,7.99598947927847,7.99305404786031,7.99070606357942,7.98894528647735,7.98777153538316,7.98718468992345,
87.05,8.04116755173959,8.03911148162348,8.03558787331438,8.0326520484658,8.03030372515338,8.0285426796141,8.02736874281857,8.0267818024855,
87.1,8.17822844933752,8.17617217895953,8.17264817916165,8.1697119940873,8.16736336035703,8.1656020690363,8.16442796221245,8.16384093501327,
87.15,8.40257122066432,8.40051476749452,8.39699041035989,8.39405389648471,8.39170497941663,8.38994346375591,8.38876920173672,8.3881820952495,
87.2,8.7049539258994,8.70289730618793,8.69937262348378,8.69643581003835,8.69408663482153,8.69232491476503,8.69115051134772,8.69056333262138,
87.24999,9.07705002124119,9.07499324986232,9.07146827066625,9.0685311844063,9.06618177409716,9.06441986790055,9.06324533571419,9.06265809120084,
87.3,9.51141483911575,9.5093579294451,9.50583267990496,9.50289534489046,9.50054572022241,9.49878364430204,9.49760899470333,9.49702169020502,
87.35,10.0014523607,9.99939532449705,9.9958698276013,9.99293226498512,9.99058244418644,9.98882021297514,9.9876454559486,9.98705809656639,
87.39999,10.541390550749,10.5393333980257,10.5358076733468,10.5328699011387,10.5305198997291,10.5287575255152,10.5275826695618,10.5269952596388,
87.45,11.1262720697742,11.1242148086379,11.1206888720249,11.1177509048083,11.1154007353552,11.1136382280893,11.1124632800928,11.1118758231459,
87.5,11.7519665495202,11.7499091859843,11.7463830491926,11.7434448977846,11.7410945696094,11.7393319366722,11.7381569017386,11.7375694003764,
87.55,12.4152104857872,12.4131530235517,12.4096266938147,12.406688364871,12.4043378837094,12.4025751296425,12.4014000109135,12.4008124667412,
87.6,13.1136810030135,13.111623443227,13.1080969227898,13.1051584183765,13.1028077860088,13.1010449122217,13.0998697106727,13.0992821241883,
87.65,13.846110241741,13.8440525827659,13.8405258684275,13.8375871855987,13.8352363994863,13.833473403969,13.8322981182092,13.8317104887025,
87.7,14.6124480158227,14.6103902530416,14.6068633357746,14.6039244662235,14.6015735192077,14.5998103962916,14.5986350223994,14.5980473478667,
87.74999,15.4140819389843,15.4120240646991,15.4084969294543,15.4055578593323,15.4032067394782,15.4014434797129,15.4002680111503,15.3996802882512,
87.8,16.2541268226189,16.2520688261205,16.2485414519617,16.2456021620026,16.2432508527062,16.2414874429437,16.2403118706144,16.2397240947015,
87.85,17.1377992007108,17.135741068626,17.1322134294083,17.1292738955519,17.1269223760769,17.1251587998968,17.1239831124401,17.1233952777091,
87.9,18.0728984150831,18.0708401321618,18.0673121980704,18.0643723928782,18.0620206395756,18.06025687825,18.0590810627087,18.0584931625392,
87.95,19.0704217582313,19.0683633088345,19.0648350492927,19.0618949446232,19.0595429332364,19.0577789675549,19.0566030106372,19.0560150382376,
88,20.1453438684761,20.1432852392006,20.1397566280017,20.1368161997315,20.1344639094637,20.1326997229536,20.1315236132605,20.1309355628062,
88.05,21.3175794483389,21.3155206325323,21.3119916566639,21.3090508928071,21.3066983133176,21.304933897783,21.3037576296398,21.3031694982303,
88.1,22.6130979694978,22.6110389749547,22.6075096496445,22.6045685641959,22.6022157075287,22.6004510724943,22.5992746524842,22.5986864434807,
